sensor1,sensor2,time_x,speedSet,load_value,gear_fault_desc
2.5200155192666083,2.4306603071063884,2023-05-03 15:01:06.975800,40.0,0,Root crack
2.52412192333669,2.431317329754514,2023-05-03 15:01:06.976000,40.0,0,Root crack
2.5162376280271794,2.4196551798664747,2023-05-03 15:01:06.976200,40.0,0,Root crack
2.5218223369869546,2.4342739318475024,2023-05-03 15:01:06.976400,40.0,0,Root crack
2.528228327979288,2.435916488690641,2023-05-03 15:01:06.976600,40.0,0,Root crack
2.533156014307106,2.437559045622988,2023-05-03 15:01:06.976800,40.0,0,Root crack
2.52412192333669,2.431645841083921,2023-05-03 15:01:06.977000,40.0,0,Root crack
2.5203440315711623,2.4337811648119496,2023-05-03 15:01:06.977200,40.0,0,Root crack
2.526092997493644,2.4265539158783533,2023-05-03 15:01:06.977400,40.0,0,Root crack
2.522150849311644,2.4232688032962497,2023-05-03 15:01:06.977600,40.0,0,Root crack
2.5298708899967868,2.426225404604137,2023-05-03 15:01:06.977800,40.0,0,Root crack
2.5293781213819044,2.4380518127200936,2023-05-03 15:01:06.978000,40.0,0,Root crack
2.522643617805543,2.4314815854187715,2023-05-03 15:01:06.978200,40.0,0,Root crack
2.5196870069657136,2.4354237216283345,2023-05-03 15:01:06.978400,40.0,0,Root crack
2.518865726229485,2.435752233002314,2023-05-03 15:01:06.978600,40.0,0,Root crack
2.5214938246659275,2.4350952102579235,2023-05-03 15:01:06.978800,40.0,0,Root crack
2.5270785346216105,2.4395301140596204,2023-05-03 15:01:06.979000,40.0,0,Root crack
2.5193584946684777,2.4308245627670835,2023-05-03 15:01:06.979200,40.0,0,Root crack
2.5218223369869546,2.422611780822495,2023-05-03 15:01:06.979400,40.0,0,Root crack
2.5318419645389114,2.430496051446584,2023-05-03 15:01:06.979600,40.0,0,Root crack
2.5170589086902595,2.435916488690641,2023-05-03 15:01:06.979800,40.0,0,Root crack
2.51738742096189,2.422119013976508,2023-05-03 15:01:06.980000,40.0,0,Root crack
2.5267500222419548,2.432302863753427,2023-05-03 15:01:06.980200,40.0,0,Root crack
2.5228078739720075,2.4240900814084374,2023-05-03 15:01:06.980400,40.0,0,Root crack
2.52445043568702,2.4421582055085227,2023-05-03 15:01:06.980600,40.0,0,Root crack
2.525435972759998,2.425732637699484,2023-05-03 15:01:06.980800,40.0,0,Root crack
2.526585766053502,2.4260611489683632,2023-05-03 15:01:06.981000,40.0,0,Root crack
2.5218223369869546,2.4300032844725137,2023-05-03 15:01:06.981200,40.0,0,Root crack
2.5177159332371777,2.4308245627670835,2023-05-03 15:01:06.981400,40.0,0,Root crack
2.5106529201238548,2.4342739318475024,2023-05-03 15:01:06.981600,40.0,0,Root crack
